epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9481,2.20677,3.3062,2.0215,0.14444,0.27678,0.13236,0.05021,2.15851,3.18569,2.29613,0.00033033,0.00033033,0.0672973
2,75.2714,2.04287,2.45857,1.89887,0.40026,0.34231,0.31276,0.1288,2.01973,2.49752,1.96722,0.000663647,0.000663647,0.0342973
3,104.464,1.94033,2.24876,1.83815,0.10543,0.46493,0.1217,0.03628,2.16864,10.026,2.22359,0.000996899,0.000996899,0.0012972
4,134.211,1.93681,2.22153,1.83841,0.1833,0.25101,0.17486,0.06627,2.13816,3.02369,2.13553,0.000999778,0.000999778,0.000999778
5,163.693,1.88495,2.09709,1.78898,0.39622,0.50766,0.45454,0.19381,1.83233,2.0851,1.77553,0.000999605,0.000999605,0.000999605
6,192.816,1.84374,2.00395,1.74494,0.45591,0.39588,0.37811,0.16389,1.85348,2.53595,1.83543,0.000999383,0.000999383,0.000999383
7,222.201,1.80328,1.93694,1.71602,0.43765,0.40761,0.37561,0.16879,1.95901,2.22494,1.90307,0.000999112,0.000999112,0.000999112
8,251.629,1.78107,1.85406,1.69148,0.5076,0.50509,0.49291,0.23335,1.78514,1.91702,1.73938,0.000998792,0.000998792,0.000998792
9,280.977,1.77945,1.84158,1.69157,0.51992,0.57824,0.55827,0.26973,1.70454,1.85444,1.66465,0.000998422,0.000998422,0.000998422
10,310.754,1.7627,1.81915,1.68177,0.61841,0.55277,0.57772,0.29075,1.68498,1.81706,1.66889,0.000998003,0.000998003,0.000998003
11,340.343,1.72601,1.72441,1.65538,0.59755,0.5523,0.55479,0.26208,1.69404,2.035,1.68557,0.000997535,0.000997535,0.000997535
12,369.858,1.73652,1.71772,1.65926,0.60767,0.57959,0.6162,0.30653,1.65791,1.61323,1.61655,0.000997018,0.000997018,0.000997018
13,399.265,1.69972,1.675,1.63071,0.65285,0.61202,0.65976,0.34617,1.59642,1.58345,1.60308,0.000996452,0.000996452,0.000996452
14,428.796,1.70398,1.66476,1.63269,0.64534,0.58991,0.61934,0.3116,1.66569,1.64691,1.64255,0.000995837,0.000995837,0.000995837
15,458.481,1.66606,1.62559,1.60716,0.68731,0.61508,0.67901,0.34903,1.60039,1.5028,1.58412,0.000995173,0.000995173,0.000995173
16,487.83,1.65511,1.56295,1.58454,0.62927,0.61089,0.67101,0.33909,1.6141,1.51708,1.61509,0.00099446,0.00099446,0.00099446
17,517.271,1.65567,1.54114,1.59685,0.66006,0.6405,0.66105,0.33328,1.6142,1.46148,1.58621,0.000993698,0.000993698,0.000993698
18,546.533,1.66091,1.5558,1.59688,0.63905,0.61673,0.65251,0.34306,1.60099,1.53579,1.58163,0.000992888,0.000992888,0.000992888
19,576.07,1.62037,1.50025,1.56081,0.67206,0.62589,0.67683,0.35251,1.60777,1.42991,1.59492,0.000992029,0.000992029,0.000992029
20,605.726,1.61789,1.47039,1.57223,0.66345,0.61447,0.6617,0.32404,1.67541,1.55938,1.65869,0.000991122,0.000991122,0.000991122
21,635.102,1.61671,1.48377,1.56442,0.69714,0.61788,0.68645,0.36665,1.59101,1.53266,1.57426,0.000990166,0.000990166,0.000990166
22,664.374,1.59164,1.42756,1.54105,0.69625,0.62906,0.67622,0.34097,1.66037,1.45997,1.6363,0.000989163,0.000989163,0.000989163
23,693.731,1.60675,1.41297,1.56454,0.66684,0.62646,0.67546,0.34467,1.61747,1.4261,1.57862,0.000988111,0.000988111,0.000988111
24,723.016,1.59607,1.387,1.55192,0.69425,0.62987,0.70388,0.37073,1.5786,1.39116,1.59344,0.00098701,0.00098701,0.00098701
25,752.354,1.57698,1.37453,1.53102,0.64367,0.63313,0.69011,0.36788,1.56273,1.39005,1.55742,0.000985862,0.000985862,0.000985862
26,781.998,1.55046,1.34231,1.51523,0.70524,0.66063,0.71741,0.38192,1.56705,1.34141,1.57127,0.000984667,0.000984667,0.000984667
27,811.468,1.56259,1.35365,1.51966,0.68853,0.64098,0.68396,0.35434,1.61738,1.40709,1.60223,0.000983423,0.000983423,0.000983423
28,840.768,1.55326,1.29477,1.51287,0.70391,0.68858,0.72912,0.39227,1.57572,1.26907,1.56661,0.000982132,0.000982132,0.000982132
29,870.248,1.55326,1.28521,1.51452,0.75902,0.64926,0.74196,0.40549,1.53991,1.29157,1.55254,0.000980794,0.000980794,0.000980794
30,899.506,1.52346,1.26237,1.4983,0.70994,0.66015,0.7133,0.36613,1.62869,1.32146,1.59732,0.000979408,0.000979408,0.000979408
31,928.757,1.53142,1.24258,1.4897,0.6802,0.59971,0.65767,0.33952,1.63305,1.39752,1.62541,0.000977975,0.000977975,0.000977975
32,958.429,1.51083,1.24224,1.48024,0.75231,0.68504,0.74292,0.39451,1.56872,1.27393,1.56832,0.000976496,0.000976496,0.000976496
33,987.833,1.50491,1.22293,1.47749,0.70038,0.64266,0.70887,0.3796,1.60462,1.34483,1.60021,0.000974969,0.000974969,0.000974969
34,1017.04,1.51832,1.19316,1.4898,0.73194,0.69095,0.74133,0.40011,1.5853,1.25238,1.55802,0.000973396,0.000973396,0.000973396
35,1046.42,1.49403,1.19406,1.47093,0.69469,0.69047,0.73054,0.39926,1.54453,1.29748,1.55442,0.000971777,0.000971777,0.000971777
