epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.8615,2.17623,3.2576,2.13137,0.16695,0.24861,0.11861,0.05285,2.01803,3.97796,2.11127,0.000199095,0.000199095,0.0802896
2,89.1782,2.02222,2.55561,1.96136,0.24173,0.35459,0.22239,0.08465,1.95487,3.40685,1.95354,0.000399085,0.000399085,0.0604896
3,124.462,2.01638,2.4278,1.93768,0.34679,0.42983,0.36832,0.15114,1.86724,2.60599,1.8856,0.000599036,0.000599036,0.0406895
4,159.201,2.00124,2.37396,1.91031,0.38477,0.44391,0.34239,0.14854,1.87646,2.28358,1.86042,0.000798918,0.000798918,0.0208894
5,193.996,1.95331,2.28974,1.87617,0.40465,0.36973,0.36499,0.14724,1.78921,2.23874,1.82772,0.000998701,0.000998701,0.0010892
6,228.156,1.91748,2.21038,1.84412,0.49787,0.4804,0.48443,0.20325,1.7472,2.22569,1.75548,0.000999383,0.000999383,0.000999383
7,262.516,1.85997,2.11169,1.78927,0.4687,0.48095,0.44357,0.1873,1.76742,2.12316,1.76925,0.000999112,0.000999112,0.000999112
8,296.431,1.8469,2.05037,1.76238,0.54203,0.53604,0.50563,0.22469,1.71505,1.97865,1.69476,0.000998792,0.000998792,0.000998792
9,330.564,1.81739,1.99994,1.75345,0.56104,0.52455,0.55023,0.26807,1.62548,1.85509,1.66649,0.000998422,0.000998422,0.000998422
10,364.782,1.82133,1.95142,1.74111,0.49404,0.53739,0.50335,0.23431,1.69231,1.96565,1.68416,0.000998003,0.000998003,0.000998003
11,398.945,1.79273,1.87402,1.71407,0.55121,0.60535,0.57776,0.28656,1.62743,1.68568,1.62951,0.000997535,0.000997535,0.000997535
12,433.155,1.76566,1.85113,1.70995,0.55563,0.57236,0.57984,0.27252,1.67548,1.79496,1.6686,0.000997018,0.000997018,0.000997018
13,467.199,1.76918,1.82965,1.69033,0.5966,0.58701,0.60361,0.3008,1.61596,1.6082,1.62827,0.000996452,0.000996452,0.000996452
14,501.241,1.74711,1.79862,1.68665,0.63982,0.59406,0.6243,0.28596,1.70316,1.61165,1.67402,0.000995837,0.000995837,0.000995837
15,535.683,1.7337,1.7571,1.66719,0.60757,0.62273,0.62799,0.29309,1.66291,1.67697,1.64938,0.000995173,0.000995173,0.000995173
16,569.774,1.71102,1.70125,1.65086,0.68427,0.59254,0.64857,0.33492,1.56454,1.53735,1.587,0.00099446,0.00099446,0.00099446
17,603.652,1.70245,1.6776,1.65444,0.67192,0.62801,0.68719,0.36031,1.536,1.44817,1.58831,0.000993698,0.000993698,0.000993698
18,637.823,1.69979,1.68077,1.64904,0.64569,0.62229,0.65657,0.33728,1.5509,1.5343,1.59634,0.000992888,0.000992888,0.000992888
19,671.749,1.70208,1.63987,1.63834,0.69974,0.65895,0.72405,0.36956,1.57353,1.43452,1.57578,0.000992029,0.000992029,0.000992029
20,705.728,1.683,1.61874,1.62719,0.63519,0.65525,0.65839,0.3316,1.60783,1.44319,1.61143,0.000991122,0.000991122,0.000991122
21,739.822,1.67951,1.60345,1.61593,0.70225,0.63435,0.71869,0.37932,1.52044,1.36943,1.55567,0.000990166,0.000990166,0.000990166
22,774.146,1.67639,1.57508,1.62643,0.65203,0.65619,0.67911,0.35697,1.54058,1.42617,1.56658,0.000989163,0.000989163,0.000989163
23,808.482,1.65744,1.5515,1.61816,0.72504,0.62506,0.69805,0.35348,1.60996,1.41118,1.61201,0.000988111,0.000988111,0.000988111
24,842.727,1.65424,1.52373,1.61122,0.74109,0.66375,0.74193,0.39643,1.53203,1.3267,1.55021,0.00098701,0.00098701,0.00098701
25,876.831,1.64387,1.52136,1.59249,0.73202,0.59907,0.70088,0.37654,1.54621,1.35633,1.56303,0.000985862,0.000985862,0.000985862
26,911.133,1.62581,1.49508,1.57721,0.68318,0.7115,0.72935,0.38744,1.53838,1.35247,1.55619,0.000984667,0.000984667,0.000984667
27,945.207,1.6174,1.46256,1.56406,0.73616,0.66308,0.73327,0.39555,1.50883,1.3003,1.52438,0.000983423,0.000983423,0.000983423
28,979.282,1.63032,1.47342,1.57282,0.68764,0.66774,0.72647,0.39175,1.53486,1.33266,1.54289,0.000982132,0.000982132,0.000982132
29,1013.25,1.62428,1.46287,1.57009,0.71932,0.68651,0.75705,0.40281,1.54941,1.27879,1.55625,0.000980794,0.000980794,0.000980794
30,1047.4,1.6101,1.43404,1.55625,0.70674,0.68805,0.75217,0.40368,1.51559,1.29398,1.51742,0.000979408,0.000979408,0.000979408
31,1081.83,1.60857,1.42469,1.55239,0.69511,0.66914,0.7266,0.38334,1.54531,1.31056,1.53603,0.000977975,0.000977975,0.000977975
32,1116.01,1.60882,1.40563,1.54382,0.71105,0.72342,0.76443,0.41077,1.52197,1.22899,1.5146,0.000976496,0.000976496,0.000976496
33,1150.43,1.59184,1.37691,1.53813,0.72984,0.69043,0.73704,0.39805,1.51553,1.23696,1.52519,0.000974969,0.000974969,0.000974969
34,1184.48,1.59091,1.38286,1.54123,0.74145,0.67565,0.73968,0.39608,1.55407,1.25563,1.54984,0.000973396,0.000973396,0.000973396
35,1218.86,1.58198,1.35818,1.53443,0.70928,0.6968,0.73503,0.40106,1.5274,1.27464,1.53356,0.000971777,0.000971777,0.000971777
36,1253.23,1.56628,1.34668,1.53987,0.75993,0.70404,0.76722,0.42176,1.48907,1.19666,1.51642,0.000970111,0.000970111,0.000970111
37,1287.48,1.56517,1.33502,1.52386,0.74795,0.69032,0.75503,0.41615,1.49483,1.27388,1.50516,0.000968399,0.000968399,0.000968399
38,1321.93,1.542,1.31214,1.51181,0.73961,0.68968,0.75377,0.40776,1.51933,1.22687,1.53934,0.000966642,0.000966642,0.000966642
39,1356.59,1.55715,1.29239,1.51292,0.74912,0.70992,0.77345,0.4141,1.50555,1.20296,1.5341,0.000964838,0.000964838,0.000964838
40,1391.38,1.54387,1.28819,1.51517,0.74572,0.68628,0.74545,0.40034,1.55028,1.25081,1.55567,0.00096299,0.00096299,0.00096299
41,1426.11,1.54656,1.28573,1.50925,0.72001,0.73434,0.77608,0.41885,1.52529,1.17354,1.50994,0.000961095,0.000961095,0.000961095
42,1460.85,1.54478,1.26851,1.50152,0.75238,0.68401,0.76014,0.41913,1.47683,1.19153,1.50832,0.000959156,0.000959156,0.000959156
43,1495.33,1.52744,1.26623,1.4999,0.77885,0.69212,0.77914,0.42795,1.50748,1.14669,1.51061,0.000957172,0.000957172,0.000957172
44,1529.56,1.5311,1.25374,1.49564,0.77606,0.70769,0.7885,0.43006,1.49539,1.11288,1.49539,0.000955143,0.000955143,0.000955143
45,1563.25,1.51433,1.2162,1.47671,0.76124,0.70515,0.76694,0.41196,1.50876,1.14826,1.51683,0.00095307,0.00095307,0.00095307
46,1597.2,1.51249,1.19189,1.47865,0.73838,0.70521,0.77293,0.42464,1.50065,1.13289,1.51804,0.000950953,0.000950953,0.000950953
47,1631.46,1.51626,1.19924,1.47255,0.77129,0.6993,0.78721,0.42949,1.50239,1.1413,1.50185,0.000948792,0.000948792,0.000948792
48,1665.38,1.51369,1.17635,1.48294,0.77563,0.74526,0.79735,0.44069,1.48274,1.09341,1.50472,0.000946587,0.000946587,0.000946587
49,1699.21,1.49977,1.17459,1.46958,0.77355,0.70461,0.7814,0.43219,1.46641,1.11857,1.46855,0.000944338,0.000944338,0.000944338
50,1733.19,1.4922,1.16386,1.46637,0.79468,0.7331,0.80217,0.43634,1.50876,1.11039,1.52036,0.000942046,0.000942046,0.000942046
51,1767.03,1.47176,1.14231,1.44824,0.77481,0.74094,0.80345,0.43542,1.49474,1.10233,1.51229,0.000939711,0.000939711,0.000939711
52,1801.47,1.50116,1.13444,1.46632,0.78368,0.70808,0.77893,0.4136,1.5029,1.14236,1.51543,0.000937334,0.000937334,0.000937334
53,1835.47,1.47361,1.13011,1.44897,0.78171,0.73198,0.79509,0.43442,1.50353,1.08276,1.52427,0.000934914,0.000934914,0.000934914
54,1869.75,1.4773,1.12828,1.44989,0.78746,0.69908,0.77891,0.42794,1.48811,1.1107,1.49895,0.000932452,0.000932452,0.000932452
55,1903.62,1.45893,1.10075,1.43156,0.75882,0.756,0.80558,0.43585,1.5051,1.07271,1.51361,0.000929948,0.000929948,0.000929948
56,1937.81,1.47179,1.1101,1.44946,0.77619,0.72061,0.7896,0.42629,1.53722,1.11112,1.55338,0.000927402,0.000927402,0.000927402
57,1971.95,1.45337,1.07453,1.43023,0.79332,0.72947,0.80339,0.44137,1.49948,1.05917,1.51679,0.000924815,0.000924815,0.000924815
58,2005.72,1.46321,1.0816,1.44349,0.76184,0.72325,0.78637,0.42125,1.50652,1.11065,1.51255,0.000922186,0.000922186,0.000922186
59,2039.67,1.45427,1.08202,1.43478,0.71235,0.74734,0.7669,0.41389,1.50893,1.13718,1.52218,0.000919517,0.000919517,0.000919517
60,2073.62,1.44762,1.08118,1.42288,0.75961,0.69496,0.78542,0.42773,1.51321,1.09756,1.52494,0.000916808,0.000916808,0.000916808
61,2107.38,1.43609,1.05362,1.41943,0.76257,0.73044,0.78985,0.42431,1.49818,1.09584,1.50379,0.000914058,0.000914058,0.000914058
62,2141.82,1.43497,1.04686,1.41421,0.78507,0.7018,0.79395,0.42903,1.52002,1.11152,1.51996,0.000911268,0.000911268,0.000911268
63,2175.87,1.43718,1.05398,1.41838,0.75215,0.75288,0.80492,0.44317,1.48178,1.06959,1.50884,0.000908438,0.000908438,0.000908438
64,2209.85,1.40928,1.02021,1.3987,0.80557,0.70761,0.80856,0.44093,1.50259,1.0416,1.5147,0.00090557,0.00090557,0.00090557
65,2244.15,1.40184,1.00325,1.3999,0.74808,0.73982,0.78937,0.42321,1.53527,1.07686,1.52876,0.000902662,0.000902662,0.000902662
66,2278.6,1.42015,1.00639,1.40577,0.73398,0.7652,0.79696,0.43601,1.49686,1.0426,1.51096,0.000899716,0.000899716,0.000899716
67,2313.05,1.41059,0.99282,1.39524,0.75822,0.74278,0.80085,0.42965,1.53074,1.05275,1.52318,0.000896731,0.000896731,0.000896731
68,2346.98,1.40606,0.9746,1.39413,0.75739,0.74779,0.78528,0.42447,1.54251,1.0544,1.53239,0.000893708,0.000893708,0.000893708
69,2380.92,1.40181,0.97174,1.39414,0.76326,0.73826,0.79647,0.42969,1.53523,1.04929,1.53467,0.000890648,0.000890648,0.000890648
70,2414.96,1.39308,0.97145,1.39189,0.80789,0.69686,0.79734,0.43377,1.51633,1.0618,1.52355,0.00088755,0.00088755,0.00088755
71,2448.77,1.39454,0.95456,1.38665,0.76337,0.74431,0.79255,0.43379,1.5362,1.06669,1.53105,0.000884415,0.000884415,0.000884415
72,2483.24,1.37725,0.94665,1.37593,0.77416,0.74162,0.81037,0.42677,1.54386,1.05523,1.55213,0.000881244,0.000881244,0.000881244
73,2517.06,1.38665,0.94917,1.37859,0.76775,0.72734,0.79002,0.42931,1.53597,1.05416,1.51617,0.000878036,0.000878036,0.000878036
74,2550.85,1.36892,0.92253,1.36579,0.76891,0.73193,0.79868,0.43406,1.53636,1.04065,1.52523,0.000874792,0.000874792,0.000874792
75,2584.76,1.36735,0.92639,1.36786,0.79523,0.72464,0.7973,0.43326,1.55557,1.0314,1.5538,0.000871513,0.000871513,0.000871513
76,2618.54,1.35959,0.92533,1.36175,0.81855,0.73315,0.80675,0.44082,1.51089,1.02997,1.5099,0.000868198,0.000868198,0.000868198
77,2652.88,1.34155,0.89756,1.34298,0.78128,0.76724,0.81454,0.44162,1.53514,1.02634,1.5427,0.000864849,0.000864849,0.000864849
78,2686.88,1.33392,0.88882,1.34114,0.76295,0.76149,0.8128,0.44454,1.51652,1.01783,1.52792,0.000861464,0.000861464,0.000861464
79,2721.21,1.34783,0.88084,1.35269,0.77442,0.75339,0.80202,0.43828,1.52631,1.04264,1.53144,0.000858046,0.000858046,0.000858046
80,2754.86,1.327,0.87606,1.33805,0.80354,0.73707,0.80408,0.44047,1.5249,1.00079,1.53524,0.000854594,0.000854594,0.000854594
81,2788.81,1.31688,0.867,1.3295,0.76192,0.75589,0.79335,0.42891,1.55365,1.02573,1.55946,0.000851109,0.000851109,0.000851109
82,2822.82,1.32107,0.86046,1.33108,0.8101,0.7462,0.81058,0.44219,1.53241,0.97996,1.55046,0.00084759,0.00084759,0.00084759
83,2857.13,1.32657,0.84821,1.33109,0.78328,0.75732,0.8058,0.43848,1.51325,1.00833,1.53093,0.000844039,0.000844039,0.000844039
84,2891.1,1.31311,0.85955,1.32818,0.74002,0.7883,0.80463,0.43491,1.53578,1.00794,1.53562,0.000840456,0.000840456,0.000840456
85,2925.06,1.30199,0.85689,1.31981,0.79435,0.7411,0.81193,0.4393,1.52429,0.99232,1.52646,0.000836841,0.000836841,0.000836841
86,2959.63,1.29613,0.84457,1.32271,0.76312,0.76241,0.80217,0.4371,1.54199,1.02143,1.55916,0.000833194,0.000833194,0.000833194
87,2993.77,1.29241,0.82969,1.31721,0.80997,0.74587,0.81261,0.43231,1.56526,1.019,1.57223,0.000829517,0.000829517,0.000829517
88,3028.27,1.29936,0.83471,1.32223,0.76433,0.73632,0.79342,0.43584,1.55856,1.02344,1.55511,0.000825808,0.000825808,0.000825808
89,3062.55,1.28376,0.81069,1.30482,0.80239,0.74992,0.80612,0.44337,1.53117,1.02129,1.54341,0.00082207,0.00082207,0.00082207
90,3097.08,1.27619,0.80768,1.30169,0.78935,0.74752,0.80422,0.43988,1.52573,1.00608,1.55331,0.000818301,0.000818301,0.000818301
91,3131.69,1.28017,0.81252,1.29959,0.75897,0.76771,0.79854,0.43217,1.53342,1.00502,1.54927,0.000814503,0.000814503,0.000814503
92,3166.13,1.27436,0.79079,1.29863,0.79847,0.75848,0.80915,0.43935,1.53288,1.00418,1.53974,0.000810677,0.000810677,0.000810677
93,3200.78,1.26443,0.7914,1.29213,0.77418,0.75385,0.78993,0.43597,1.54242,1.01685,1.57191,0.000806821,0.000806821,0.000806821
94,3235.31,1.26484,0.79286,1.29005,0.79395,0.73733,0.79564,0.42922,1.54913,1.01824,1.56859,0.000802938,0.000802938,0.000802938
95,3269.72,1.24533,0.78452,1.27611,0.79968,0.71781,0.78751,0.42785,1.55885,1.00655,1.57309,0.000799026,0.000799026,0.000799026
96,3304.22,1.24659,0.76523,1.27086,0.79149,0.73848,0.79601,0.43517,1.5421,1.02085,1.5523,0.000795088,0.000795088,0.000795088
97,3338.27,1.25515,0.77992,1.27936,0.79499,0.72856,0.79347,0.43492,1.54042,1.03301,1.54472,0.000791122,0.000791122,0.000791122
98,3372.67,1.23603,0.74348,1.26282,0.74811,0.76952,0.78906,0.428,1.54984,1.00148,1.56225,0.00078713,0.00078713,0.00078713
99,3406.67,1.21395,0.7402,1.25615,0.75265,0.79096,0.80809,0.43699,1.54379,0.99573,1.56563,0.000783112,0.000783112,0.000783112
100,3440.5,1.23127,0.75268,1.26885,0.82827,0.72562,0.79762,0.44169,1.52787,0.98155,1.55637,0.000779069,0.000779069,0.000779069
101,3474.83,1.21091,0.73143,1.25766,0.79526,0.77841,0.80804,0.44084,1.55902,0.97869,1.58192,0.000775,0.000775,0.000775
102,3508.68,1.21263,0.73132,1.25217,0.75463,0.79224,0.80104,0.42997,1.53899,0.99556,1.5722,0.000770907,0.000770907,0.000770907
103,3542.99,1.20196,0.7354,1.25028,0.78541,0.76758,0.80171,0.43674,1.54734,0.99262,1.57433,0.000766789,0.000766789,0.000766789
104,3577.03,1.20332,0.7314,1.25994,0.79043,0.7633,0.8024,0.43666,1.55541,0.98543,1.56305,0.000762648,0.000762648,0.000762648
105,3610.89,1.19653,0.73028,1.24403,0.77799,0.74988,0.79645,0.42729,1.55952,1.00347,1.59028,0.000758483,0.000758483,0.000758483
106,3644.64,1.19877,0.7229,1.24083,0.80332,0.75444,0.8044,0.43492,1.54659,0.97479,1.57433,0.000754296,0.000754296,0.000754296
107,3678.73,1.18515,0.6986,1.23465,0.80879,0.75225,0.80423,0.43395,1.57147,0.98712,1.58357,0.000750086,0.000750086,0.000750086
108,3712.71,1.17341,0.70971,1.22632,0.78749,0.74566,0.80017,0.43708,1.55435,0.98206,1.57557,0.000745854,0.000745854,0.000745854
