epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.8228,1.85552,5.05785,1.84158,0.47474,0.05637,0.06759,0.02823,1.69824,4.08354,1.92179,0.00033033,0.00033033,0.0672973
2,110.471,1.77275,3.07394,1.75255,0.27585,0.25325,0.12565,0.05411,1.71113,3.9561,1.71985,0.000663516,0.000663516,0.0342971
3,153.807,1.77353,2.85554,1.7224,0.39755,0.24926,0.16448,0.06805,1.75777,3.57271,1.80861,0.000996112,0.000996112,0.00129641
4,197.263,1.75326,2.7391,1.68358,0.28285,0.30244,0.18478,0.07987,1.7855,3.17135,1.77545,0.000998003,0.000998003,0.000998003
5,241.139,1.75931,2.61302,1.64646,0.28979,0.43798,0.31358,0.13745,1.66222,2.47694,1.62238,0.000996452,0.000996452,0.000996452
6,285.2,1.69963,2.48852,1.61456,0.37881,0.3889,0.33751,0.15361,1.6634,2.40873,1.64651,0.00099446,0.00099446,0.00099446
7,329.636,1.69889,2.36704,1.60699,0.34662,0.39541,0.31142,0.14076,1.7213,2.34675,1.65106,0.000992029,0.000992029,0.000992029
8,374.001,1.6945,2.27426,1.57565,0.37106,0.48626,0.39231,0.17665,1.67113,2.22922,1.62354,0.000989163,0.000989163,0.000989163
9,418.432,1.65466,2.20895,1.56556,0.49155,0.48463,0.47458,0.2292,1.60978,2.04744,1.59104,0.000985862,0.000985862,0.000985862
10,462.772,1.67837,2.13808,1.58006,0.53616,0.5191,0.50302,0.24939,1.6121,1.91901,1.55948,0.000982132,0.000982132,0.000982132
11,507.094,1.65848,2.06225,1.55173,0.46256,0.51739,0.48359,0.23624,1.61537,2.09031,1.5886,0.000977975,0.000977975,0.000977975
12,551.404,1.66724,2.01024,1.54306,0.46769,0.45555,0.42622,0.20769,1.71317,2.13616,1.61007,0.000973396,0.000973396,0.000973396
13,595.666,1.63852,1.96167,1.53119,0.5808,0.52284,0.53845,0.26216,1.57867,1.79599,1.53006,0.000968399,0.000968399,0.000968399
14,640.319,1.6541,1.89956,1.52225,0.5465,0.5481,0.54466,0.27007,1.67431,1.75109,1.56655,0.00096299,0.00096299,0.00096299
15,684.94,1.62828,1.86269,1.51459,0.54269,0.5094,0.52757,0.26797,1.59779,1.80941,1.55877,0.000957172,0.000957172,0.000957172
16,729.23,1.60129,1.81878,1.50601,0.5881,0.54536,0.5846,0.30696,1.55834,1.66688,1.52309,0.000950953,0.000950953,0.000950953
17,773.754,1.61795,1.75321,1.50474,0.56845,0.59138,0.58498,0.30528,1.56015,1.6898,1.53564,0.000944338,0.000944338,0.000944338
18,818.151,1.60784,1.7498,1.50109,0.55792,0.51918,0.51722,0.27143,1.56276,1.90571,1.55309,0.000937334,0.000937334,0.000937334
19,862.705,1.58727,1.68609,1.48564,0.61618,0.55849,0.58383,0.30893,1.5756,1.6863,1.53325,0.000929948,0.000929948,0.000929948
20,907.539,1.58491,1.67777,1.49418,0.56816,0.59537,0.58955,0.30602,1.56464,1.6284,1.51213,0.000922186,0.000922186,0.000922186
21,951.709,1.59697,1.65601,1.49813,0.58424,0.58971,0.59824,0.31266,1.59294,1.62815,1.53148,0.000914058,0.000914058,0.000914058
22,995.894,1.57731,1.61606,1.48558,0.61284,0.56977,0.5954,0.30661,1.60679,1.58948,1.55151,0.00090557,0.00090557,0.00090557
23,1040.16,1.56824,1.56563,1.4847,0.59676,0.56979,0.59499,0.30824,1.59471,1.59301,1.54891,0.000896731,0.000896731,0.000896731
24,1084.45,1.57098,1.54384,1.47046,0.63791,0.60847,0.64276,0.3417,1.56095,1.44921,1.49656,0.00088755,0.00088755,0.00088755
25,1129.04,1.54785,1.52581,1.47345,0.60073,0.60212,0.6216,0.33364,1.53165,1.49456,1.52787,0.000878036,0.000878036,0.000878036
26,1173.41,1.53554,1.49755,1.46867,0.5694,0.49429,0.52416,0.25731,1.68968,1.8017,1.60057,0.000868198,0.000868198,0.000868198
27,1218.3,1.55415,1.48187,1.46601,0.61441,0.62953,0.62162,0.32793,1.5884,1.50087,1.54489,0.000858046,0.000858046,0.000858046
28,1263.43,1.53226,1.42814,1.46031,0.64776,0.62208,0.65966,0.35021,1.57772,1.4455,1.53949,0.00084759,0.00084759,0.00084759
29,1308.37,1.52457,1.40247,1.46053,0.66698,0.61643,0.67183,0.35734,1.56105,1.37525,1.51184,0.000836841,0.000836841,0.000836841
30,1353.4,1.51361,1.38092,1.44941,0.67777,0.63275,0.675,0.364,1.53701,1.46309,1.51562,0.000825808,0.000825808,0.000825808
31,1398.54,1.4947,1.39304,1.43309,0.67675,0.64126,0.67728,0.36304,1.5545,1.37134,1.50124,0.000814503,0.000814503,0.000814503
32,1443.37,1.50305,1.34304,1.43607,0.66386,0.62418,0.66666,0.36195,1.55513,1.40577,1.54096,0.000802938,0.000802938,0.000802938
33,1488.18,1.49837,1.32945,1.43688,0.64512,0.66766,0.69753,0.36526,1.56438,1.36257,1.51745,0.000791122,0.000791122,0.000791122
