epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.4572,2.77953,3.57206,2.85018,0.22221,0.28794,0.14331,0.05092,2.55371,3.03035,2.92239,0.000199267,0.000199267,0.0802725
2,166.327,2.6232,2.90413,2.68975,0.24804,0.3935,0.21808,0.07886,2.62286,2.88831,2.93521,0.000399258,0.000399258,0.0604725
3,239.988,2.60833,2.79594,2.65867,0.42171,0.34791,0.23617,0.0932,2.46701,3.45837,2.74005,0.000599208,0.000599208,0.0406725
4,313.125,2.56574,2.75492,2.62811,0.15675,0.27529,0.13343,0.04533,2.61022,5.65981,2.88186,0.00079909,0.00079909,0.0208723
5,385.495,2.55239,2.68022,2.59217,0.21742,0.38853,0.24131,0.09398,2.57582,3.16418,2.72157,0.000998873,0.000998873,0.00107213
6,457.897,2.49191,2.62198,2.53697,0.38059,0.38349,0.33499,0.13511,2.43431,2.70757,2.6898,0.000999383,0.000999383,0.000999383
7,530.15,2.47492,2.54063,2.52807,0.40098,0.43288,0.36877,0.15181,2.3297,2.35537,2.52977,0.000999112,0.000999112,0.000999112
8,602.521,2.42694,2.47966,2.49394,0.40174,0.43428,0.40596,0.18252,2.26684,2.2532,2.51934,0.000998792,0.000998792,0.000998792
9,674.492,2.40589,2.44912,2.47809,0.4606,0.44935,0.41235,0.17293,2.27608,2.16404,2.48289,0.000998422,0.000998422,0.000998422
10,746.627,2.3838,2.38473,2.43961,0.48783,0.45654,0.46916,0.20601,2.20628,2.07943,2.38515,0.000998003,0.000998003,0.000998003
11,818.855,2.36034,2.34959,2.41932,0.41795,0.46618,0.43792,0.2028,2.18945,2.23401,2.48741,0.000997535,0.000997535,0.000997535
12,891.538,2.33751,2.30435,2.39694,0.56158,0.52189,0.51843,0.24024,2.11197,2.07271,2.32099,0.000997018,0.000997018,0.000997018
13,963.87,2.30356,2.30058,2.37962,0.56591,0.52155,0.5391,0.24973,2.18501,1.93423,2.36472,0.000996452,0.000996452,0.000996452
14,1036.08,2.31464,2.28164,2.36844,0.52148,0.55118,0.53153,0.24773,2.17025,1.99384,2.38821,0.000995837,0.000995837,0.000995837
15,1108.1,2.29817,2.25161,2.34102,0.57611,0.51054,0.53909,0.24124,2.25777,1.94653,2.39863,0.000995173,0.000995173,0.000995173
16,1180.72,2.27772,2.20722,2.32975,0.56635,0.57996,0.58541,0.29147,2.07713,1.90518,2.29176,0.00099446,0.00099446,0.00099446
17,1253,2.27609,2.19277,2.32502,0.54292,0.49573,0.50938,0.25464,2.12191,2.09414,2.31832,0.000993698,0.000993698,0.000993698
18,1325.28,2.26682,2.15246,2.31775,0.5687,0.55347,0.58532,0.28833,2.11691,1.77707,2.30004,0.000992888,0.000992888,0.000992888
19,1397.5,2.24974,2.12407,2.3144,0.59579,0.53944,0.58747,0.28112,2.12612,1.89436,2.35074,0.000992029,0.000992029,0.000992029
20,1470.1,2.2525,2.12213,2.30499,0.57659,0.51668,0.55049,0.26122,2.1074,1.96733,2.37977,0.000991122,0.000991122,0.000991122
21,1542.77,2.24847,2.10484,2.30104,0.59369,0.59709,0.60011,0.28948,2.11631,1.78162,2.27626,0.000990166,0.000990166,0.000990166
22,1615.32,2.25246,2.12416,2.29284,0.66703,0.55348,0.62062,0.30177,2.06568,1.74796,2.23294,0.000989163,0.000989163,0.000989163
23,1687.55,2.22624,2.06931,2.28458,0.5401,0.55432,0.54632,0.26581,2.15552,1.87597,2.33196,0.000988111,0.000988111,0.000988111
24,1759.81,2.21961,2.06676,2.28449,0.62787,0.58826,0.63159,0.31022,2.10909,1.7547,2.29509,0.00098701,0.00098701,0.00098701
25,1832.24,2.209,2.05062,2.2777,0.60447,0.58015,0.59394,0.30083,2.11577,1.73811,2.28797,0.000985862,0.000985862,0.000985862
