epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.7711,2.2482,3.5586,2.2413,0.13709,0.28369,0.10024,0.03648,2.17206,3.24552,2.23339,0.000199267,0.000199267,0.0802725
2,162.861,2.08187,2.77726,2.06826,0.27053,0.27407,0.19641,0.0719,1.97935,3.0861,2.12762,0.000399258,0.000399258,0.0604725
3,233.991,2.08403,2.66849,2.02957,0.30749,0.28669,0.19715,0.06978,2.15697,2.85694,2.11104,0.000599208,0.000599208,0.0406725
4,304.259,2.01927,2.54676,1.9715,0.33928,0.41041,0.29697,0.13015,1.8549,2.81338,1.93876,0.00079909,0.00079909,0.0208723
5,374.376,1.9919,2.44596,1.93035,0.38082,0.4312,0.33152,0.13421,1.91767,2.61279,1.94955,0.000998873,0.000998873,0.00107213
6,444.532,1.96128,2.40733,1.92171,0.45405,0.35996,0.34882,0.14617,1.82585,2.57026,1.85792,0.000999383,0.000999383,0.000999383
7,514.773,1.912,2.28871,1.87768,0.45165,0.4148,0.38664,0.16879,1.84159,2.31353,1.83931,0.000999112,0.000999112,0.000999112
8,584.7,1.88681,2.245,1.83439,0.46166,0.46964,0.46277,0.21698,1.71919,2.09163,1.75035,0.000998792,0.000998792,0.000998792
9,654.663,1.847,2.15048,1.8044,0.50834,0.48249,0.47415,0.2249,1.74534,2.08687,1.77291,0.000998422,0.000998422,0.000998422
10,724.623,1.83776,2.1022,1.77457,0.52944,0.54155,0.54664,0.2564,1.70311,1.8584,1.70742,0.000998003,0.000998003,0.000998003
11,794.258,1.81763,2.06946,1.77027,0.47922,0.48074,0.45618,0.2104,1.7673,2.10316,1.77419,0.000997535,0.000997535,0.000997535
12,864.451,1.81122,2.03014,1.75892,0.58517,0.53961,0.55183,0.27189,1.6783,1.82942,1.67187,0.000997018,0.000997018,0.000997018
13,934.254,1.78404,1.9881,1.73913,0.53703,0.54713,0.54605,0.26718,1.64112,1.83758,1.66831,0.000996452,0.000996452,0.000996452
14,1004.05,1.79056,1.95876,1.7352,0.62457,0.58944,0.60775,0.30859,1.62614,1.72389,1.64201,0.000995837,0.000995837,0.000995837
15,1073.91,1.76731,1.91657,1.73433,0.57482,0.55213,0.5845,0.27842,1.71438,1.75012,1.7143,0.000995173,0.000995173,0.000995173
16,1143.93,1.75182,1.86107,1.72729,0.62566,0.59624,0.61482,0.29961,1.67281,1.73587,1.69219,0.00099446,0.00099446,0.00099446
17,1214.14,1.74513,1.83222,1.69655,0.61185,0.57878,0.61043,0.30856,1.6856,1.6443,1.66404,0.000993698,0.000993698,0.000993698
18,1284.23,1.72986,1.82521,1.69109,0.60579,0.61182,0.63619,0.32306,1.61952,1.67387,1.63711,0.000992888,0.000992888,0.000992888
19,1354.24,1.70892,1.77728,1.68512,0.6495,0.58397,0.62434,0.32768,1.6107,1.65229,1.63666,0.000992029,0.000992029,0.000992029
20,1423.97,1.70679,1.75269,1.66199,0.67244,0.62308,0.67959,0.35077,1.59076,1.55859,1.61183,0.000991122,0.000991122,0.000991122
21,1493.89,1.69805,1.74478,1.66905,0.63071,0.62901,0.65526,0.33349,1.64097,1.568,1.64767,0.000990166,0.000990166,0.000990166
22,1564.11,1.68087,1.72374,1.64945,0.65627,0.64031,0.6741,0.34082,1.67437,1.57485,1.66706,0.000989163,0.000989163,0.000989163
23,1633.78,1.67523,1.7001,1.65114,0.66758,0.6102,0.68171,0.36277,1.60282,1.5194,1.61119,0.000988111,0.000988111,0.000988111
24,1703.48,1.68237,1.67373,1.63573,0.69751,0.61976,0.68483,0.36391,1.57121,1.47543,1.60135,0.00098701,0.00098701,0.00098701
25,1773.31,1.67261,1.68061,1.63547,0.67579,0.6611,0.70344,0.37115,1.59944,1.48953,1.62713,0.000985862,0.000985862,0.000985862
26,1843.51,1.65926,1.61576,1.61701,0.69344,0.61352,0.68241,0.35976,1.58327,1.49137,1.58386,0.000984667,0.000984667,0.000984667
27,1913.42,1.66526,1.63964,1.63227,0.67477,0.66736,0.71134,0.37478,1.58829,1.43168,1.57598,0.000983423,0.000983423,0.000983423
28,1983.27,1.64989,1.59779,1.60659,0.65671,0.64773,0.68001,0.35181,1.61797,1.46402,1.61659,0.000982132,0.000982132,0.000982132
29,2052.92,1.66205,1.57253,1.61556,0.73137,0.65385,0.72991,0.38688,1.53854,1.43393,1.55583,0.000980794,0.000980794,0.000980794
30,2122.71,1.63611,1.54852,1.59495,0.67103,0.65692,0.69295,0.36624,1.57938,1.42992,1.57149,0.000979408,0.000979408,0.000979408
31,2192.92,1.63874,1.57214,1.59892,0.67007,0.58362,0.63932,0.33318,1.66725,1.60388,1.65405,0.000977975,0.000977975,0.000977975
32,2262.92,1.62289,1.53681,1.58505,0.68742,0.64635,0.70222,0.37689,1.57158,1.43357,1.58799,0.000976496,0.000976496,0.000976496
33,2332.79,1.60477,1.52625,1.57932,0.69965,0.62938,0.67386,0.34612,1.57621,1.47111,1.5861,0.000974969,0.000974969,0.000974969
34,2402.67,1.62141,1.51205,1.58267,0.66867,0.66127,0.70235,0.37375,1.57955,1.42712,1.57941,0.000973396,0.000973396,0.000973396
35,2472.48,1.60959,1.50552,1.57287,0.7011,0.64374,0.70525,0.37722,1.56297,1.35845,1.56314,0.000971777,0.000971777,0.000971777
36,2542.57,1.60111,1.46282,1.56769,0.71488,0.65522,0.72388,0.39104,1.54191,1.34954,1.56068,0.000970111,0.000970111,0.000970111
37,2612.46,1.59909,1.45025,1.56809,0.6691,0.65581,0.69427,0.37688,1.54146,1.43437,1.55156,0.000968399,0.000968399,0.000968399
38,2682.51,1.5729,1.44407,1.54847,0.71651,0.65463,0.72701,0.39817,1.52842,1.33113,1.53436,0.000966642,0.000966642,0.000966642
39,2752.42,1.58006,1.43483,1.54864,0.70874,0.68503,0.71705,0.38758,1.58799,1.36758,1.58232,0.000964838,0.000964838,0.000964838
40,2822.54,1.58053,1.41586,1.54709,0.68418,0.6902,0.72326,0.39864,1.54843,1.33767,1.55056,0.00096299,0.00096299,0.00096299
41,2892.39,1.57175,1.41454,1.55018,0.70815,0.67073,0.72252,0.39016,1.58332,1.38147,1.57856,0.000961095,0.000961095,0.000961095
42,2962.52,1.56518,1.3943,1.53372,0.67799,0.68826,0.71857,0.38886,1.57588,1.34042,1.57674,0.000959156,0.000959156,0.000959156
43,3032.57,1.57856,1.39467,1.54372,0.68379,0.68157,0.71997,0.38426,1.56578,1.38484,1.55792,0.000957172,0.000957172,0.000957172
44,3102.51,1.5587,1.39038,1.54048,0.69538,0.69689,0.73334,0.39281,1.56635,1.32306,1.58522,0.000955143,0.000955143,0.000955143
45,3172.91,1.55805,1.36049,1.53791,0.711,0.71313,0.75391,0.40862,1.54587,1.30387,1.54985,0.00095307,0.00095307,0.00095307
46,3242.76,1.54508,1.34752,1.52753,0.70014,0.68259,0.73181,0.39001,1.57119,1.30575,1.58411,0.000950953,0.000950953,0.000950953
47,3312.68,1.54686,1.32952,1.51952,0.70295,0.71336,0.74201,0.39462,1.5784,1.27417,1.5664,0.000948792,0.000948792,0.000948792
48,3382.53,1.54896,1.33534,1.51778,0.71644,0.6876,0.73329,0.39957,1.56925,1.31133,1.55361,0.000946587,0.000946587,0.000946587
49,3452.78,1.51889,1.30944,1.5014,0.76004,0.68541,0.75545,0.41238,1.54331,1.28627,1.54653,0.000944338,0.000944338,0.000944338
50,3522.72,1.52088,1.28912,1.50672,0.74312,0.70753,0.76536,0.4126,1.58564,1.24146,1.58696,0.000942046,0.000942046,0.000942046
51,3592.56,1.52902,1.28497,1.50837,0.74945,0.68231,0.75671,0.41359,1.56531,1.25681,1.55473,0.000939711,0.000939711,0.000939711
52,3662.35,1.52153,1.27533,1.50239,0.70942,0.71105,0.73504,0.39849,1.54659,1.26655,1.55062,0.000937334,0.000937334,0.000937334
53,3732.04,1.50496,1.24814,1.47785,0.72092,0.69726,0.75813,0.41609,1.54723,1.24191,1.5303,0.000934914,0.000934914,0.000934914
54,3802.17,1.51793,1.24273,1.4904,0.72273,0.68524,0.75131,0.40476,1.54555,1.24723,1.54607,0.000932452,0.000932452,0.000932452
55,3871.6,1.50574,1.23338,1.49014,0.78041,0.7023,0.77882,0.43149,1.53468,1.20002,1.54727,0.000929948,0.000929948,0.000929948
56,3941.42,1.48495,1.21972,1.46705,0.73985,0.68707,0.75483,0.41144,1.55407,1.23424,1.56302,0.000927402,0.000927402,0.000927402
57,4011.08,1.48431,1.22103,1.47042,0.76647,0.67984,0.75599,0.4143,1.56181,1.23155,1.55365,0.000924815,0.000924815,0.000924815
58,4080.91,1.49572,1.20053,1.47764,0.71241,0.70015,0.75199,0.40854,1.54194,1.25924,1.55073,0.000922186,0.000922186,0.000922186
59,4150.73,1.48392,1.20413,1.46721,0.74794,0.694,0.74928,0.41611,1.55115,1.21329,1.54304,0.000919517,0.000919517,0.000919517
60,4220.38,1.47289,1.16572,1.45682,0.73607,0.70559,0.768,0.41857,1.56765,1.23056,1.55449,0.000916808,0.000916808,0.000916808
61,4290.44,1.48185,1.176,1.46265,0.75717,0.6993,0.76495,0.4133,1.58115,1.19316,1.56408,0.000914058,0.000914058,0.000914058
62,4360.48,1.47596,1.16992,1.45621,0.7692,0.69752,0.7756,0.42793,1.5398,1.19138,1.53881,0.000911268,0.000911268,0.000911268
63,4430.72,1.4733,1.1598,1.45793,0.73996,0.66298,0.7424,0.39391,1.59051,1.27077,1.56444,0.000908438,0.000908438,0.000908438
64,4500.9,1.45353,1.12562,1.44309,0.75587,0.7116,0.77756,0.42619,1.5587,1.18137,1.54746,0.00090557,0.00090557,0.00090557
65,4570.82,1.45354,1.13882,1.4382,0.74374,0.71967,0.76762,0.42695,1.53303,1.17427,1.54306,0.000902662,0.000902662,0.000902662
66,4640.73,1.4506,1.12408,1.43719,0.7193,0.73987,0.77817,0.43623,1.53585,1.1389,1.53162,0.000899716,0.000899716,0.000899716
67,4710.89,1.43752,1.10245,1.43241,0.76247,0.73121,0.78419,0.42676,1.53794,1.14756,1.54287,0.000896731,0.000896731,0.000896731
68,4780.9,1.4486,1.10497,1.43733,0.75843,0.71086,0.77557,0.42419,1.58225,1.16081,1.56624,0.000893708,0.000893708,0.000893708
69,4850.74,1.43978,1.10126,1.42839,0.78345,0.68788,0.78012,0.43071,1.55605,1.16878,1.54359,0.000890648,0.000890648,0.000890648
70,4920.66,1.43267,1.09063,1.42653,0.74879,0.71687,0.7704,0.42339,1.56959,1.19411,1.55955,0.00088755,0.00088755,0.00088755
71,4990.66,1.42778,1.09517,1.42655,0.77515,0.70105,0.7875,0.43644,1.54289,1.12897,1.53922,0.000884415,0.000884415,0.000884415
72,5060.89,1.41468,1.07883,1.41244,0.74262,0.72344,0.78309,0.42463,1.56129,1.16594,1.5504,0.000881244,0.000881244,0.000881244
73,5130.62,1.4133,1.05571,1.41013,0.75009,0.72052,0.77115,0.4208,1.56101,1.1637,1.55657,0.000878036,0.000878036,0.000878036
74,5200.65,1.40928,1.04743,1.40757,0.78736,0.71556,0.78887,0.43666,1.54856,1.13208,1.54225,0.000874792,0.000874792,0.000874792
75,5270.52,1.40801,1.05653,1.40819,0.7615,0.72898,0.79378,0.43528,1.56075,1.11294,1.56258,0.000871513,0.000871513,0.000871513
76,5340.53,1.40267,1.03727,1.4047,0.7721,0.73035,0.79227,0.42518,1.56705,1.11962,1.5508,0.000868198,0.000868198,0.000868198
77,5410.73,1.39489,1.03279,1.39687,0.79949,0.70897,0.7876,0.42354,1.58293,1.14092,1.58244,0.000864849,0.000864849,0.000864849
78,5480.67,1.38512,1.01224,1.3912,0.75815,0.74759,0.7923,0.43319,1.5597,1.09216,1.56079,0.000861464,0.000861464,0.000861464
79,5550.71,1.37951,1.00864,1.38571,0.81748,0.71522,0.80001,0.43991,1.56456,1.09254,1.55598,0.000858046,0.000858046,0.000858046
80,5620.34,1.37809,1.00093,1.37842,0.75708,0.74493,0.79151,0.43215,1.58644,1.09068,1.56539,0.000854594,0.000854594,0.000854594
81,5690,1.36679,0.98154,1.36949,0.766,0.72494,0.78308,0.42781,1.58534,1.12074,1.56982,0.000851109,0.000851109,0.000851109
82,5760.41,1.38065,1.00062,1.38151,0.78103,0.70765,0.78544,0.42373,1.6118,1.10292,1.57279,0.00084759,0.00084759,0.00084759
83,5830.2,1.36237,0.98706,1.37187,0.76973,0.7069,0.78273,0.42777,1.59845,1.09941,1.57519,0.000844039,0.000844039,0.000844039
