epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.3993,2.20282,3.53128,2.12152,0.08754,0.55812,0.0959,0.0381,1.97673,4.73399,2.22347,0.00033033,0.00033033,0.0672973
2,131.722,2.04131,2.56451,1.97088,0.17737,0.35499,0.1475,0.05242,2.14005,4.1309,2.15907,0.000663516,0.000663516,0.0342971
3,189.235,1.97549,2.35431,1.90126,0.30351,0.31974,0.22479,0.08493,2.01747,3.19602,2.06732,0.000996112,0.000996112,0.00129641
4,247.267,1.94372,2.31057,1.88635,0.50751,0.34925,0.32359,0.14145,1.88962,2.53681,1.86369,0.000998003,0.000998003,0.000998003
5,305.298,1.90173,2.1886,1.84197,0.40696,0.49431,0.44055,0.20558,1.74938,2.16732,1.7592,0.000996452,0.000996452,0.000996452
6,363.198,1.86835,2.07069,1.79614,0.4863,0.53428,0.46331,0.21018,1.76085,2.16933,1.74328,0.00099446,0.00099446,0.00099446
7,421.202,1.82209,2.00167,1.76683,0.57972,0.45751,0.50032,0.22199,1.73854,1.95827,1.71959,0.000992029,0.000992029,0.000992029
8,479.239,1.78224,1.92456,1.72396,0.51829,0.48627,0.49737,0.23202,1.78301,1.91467,1.74102,0.000989163,0.000989163,0.000989163
9,537.254,1.76386,1.87486,1.71252,0.52189,0.48354,0.47576,0.23069,1.7013,2.08781,1.71716,0.000985862,0.000985862,0.000985862
10,595.332,1.75992,1.85649,1.70891,0.53958,0.54829,0.53627,0.26389,1.66294,1.76415,1.66524,0.000982132,0.000982132,0.000982132
11,653.334,1.7362,1.80145,1.68269,0.5719,0.46012,0.5054,0.24024,1.686,2.09842,1.69784,0.000977975,0.000977975,0.000977975
12,711.297,1.72111,1.76019,1.66779,0.58365,0.48903,0.52538,0.24229,1.79263,1.93034,1.71053,0.000973396,0.000973396,0.000973396
13,769.208,1.71122,1.74935,1.64809,0.58759,0.55722,0.57307,0.28592,1.68407,1.66911,1.65771,0.000968399,0.000968399,0.000968399
14,827.177,1.69128,1.70583,1.6511,0.56614,0.56266,0.54535,0.26995,1.68081,1.79313,1.69245,0.00096299,0.00096299,0.00096299
15,885.277,1.66742,1.67501,1.63741,0.59671,0.63241,0.63453,0.32304,1.61938,1.59672,1.62513,0.000957172,0.000957172,0.000957172
16,943.26,1.66005,1.60414,1.61758,0.63658,0.62221,0.65579,0.33327,1.6068,1.56429,1.63156,0.000950953,0.000950953,0.000950953
17,1001.02,1.6494,1.59832,1.61138,0.67141,0.60664,0.67989,0.35381,1.58927,1.45541,1.60441,0.000944338,0.000944338,0.000944338
18,1058.86,1.64804,1.57836,1.60129,0.68551,0.63977,0.69435,0.36368,1.56782,1.49479,1.58914,0.000937334,0.000937334,0.000937334
19,1116.43,1.62358,1.52595,1.58701,0.66256,0.66732,0.70754,0.36623,1.60581,1.42832,1.6003,0.000929948,0.000929948,0.000929948
20,1174.58,1.6089,1.48614,1.58095,0.63608,0.63144,0.65905,0.33877,1.60433,1.51942,1.61018,0.000922186,0.000922186,0.000922186
21,1232.24,1.61682,1.48246,1.57277,0.65991,0.61582,0.6685,0.34298,1.63633,1.45272,1.60067,0.000914058,0.000914058,0.000914058
22,1290.11,1.60579,1.46362,1.56659,0.70061,0.6316,0.70607,0.36637,1.60429,1.41662,1.58499,0.00090557,0.00090557,0.00090557
23,1347.66,1.6206,1.44883,1.58295,0.66564,0.58661,0.64424,0.33114,1.63162,1.49822,1.60778,0.000896731,0.000896731,0.000896731
24,1405.3,1.60363,1.41588,1.56263,0.66655,0.67862,0.70805,0.36919,1.59845,1.36629,1.58828,0.00088755,0.00088755,0.00088755
25,1462.83,1.57787,1.41264,1.55446,0.62788,0.66163,0.67507,0.36233,1.54911,1.38874,1.56353,0.000878036,0.000878036,0.000878036
26,1520.47,1.55765,1.36026,1.52621,0.74295,0.65313,0.72551,0.39541,1.56106,1.31639,1.57174,0.000868198,0.000868198,0.000868198
27,1577.65,1.55204,1.34641,1.51859,0.70274,0.62488,0.68974,0.35771,1.60857,1.40192,1.58738,0.000858046,0.000858046,0.000858046
28,1635.04,1.5518,1.32803,1.52132,0.70207,0.66041,0.70931,0.38116,1.59834,1.36112,1.60631,0.00084759,0.00084759,0.00084759
29,1692.6,1.52847,1.30266,1.50743,0.71367,0.64977,0.70916,0.38598,1.55544,1.34577,1.56244,0.000836841,0.000836841,0.000836841
30,1750.05,1.52785,1.3007,1.51402,0.74443,0.65368,0.73644,0.39303,1.58853,1.25474,1.56166,0.000825808,0.000825808,0.000825808
31,1807.98,1.51586,1.26041,1.48436,0.69659,0.64272,0.70087,0.37293,1.59333,1.33038,1.59096,0.000814503,0.000814503,0.000814503
32,1865.33,1.51083,1.2575,1.48793,0.73157,0.66383,0.72628,0.37389,1.59392,1.29757,1.58893,0.000802938,0.000802938,0.000802938
33,1922.83,1.49153,1.24112,1.47788,0.67979,0.65663,0.72877,0.37885,1.57782,1.31912,1.57892,0.000791122,0.000791122,0.000791122
34,1980.05,1.50392,1.20396,1.48266,0.72323,0.6806,0.74275,0.39831,1.56966,1.24293,1.55189,0.000779069,0.000779069,0.000779069
35,2037.56,1.47953,1.18644,1.46814,0.76327,0.68129,0.76127,0.41361,1.55398,1.2155,1.53972,0.000766789,0.000766789,0.000766789
36,2095.36,1.47566,1.17876,1.46276,0.70741,0.67599,0.73152,0.39873,1.54588,1.25296,1.5433,0.000754296,0.000754296,0.000754296
37,2152.82,1.47035,1.16007,1.46449,0.7547,0.68842,0.762,0.4116,1.54133,1.20845,1.55051,0.000741601,0.000741601,0.000741601
38,2210.42,1.44837,1.13533,1.43167,0.70566,0.72139,0.75425,0.40987,1.55429,1.20959,1.55392,0.000728717,0.000728717,0.000728717
39,2268.22,1.44123,1.12595,1.43964,0.70635,0.67286,0.72912,0.40149,1.55129,1.23944,1.57042,0.000715656,0.000715656,0.000715656
40,2325.79,1.44497,1.09663,1.44024,0.71731,0.68126,0.72491,0.3843,1.5874,1.29485,1.57538,0.000702432,0.000702432,0.000702432
41,2383.54,1.44595,1.08472,1.43979,0.76063,0.68225,0.75884,0.41402,1.54605,1.1637,1.55056,0.000689058,0.000689058,0.000689058
42,2440.98,1.41479,1.06501,1.4188,0.77371,0.67305,0.76619,0.41584,1.55838,1.16009,1.55262,0.000675546,0.000675546,0.000675546
43,2498.39,1.40237,1.04392,1.40848,0.75287,0.7195,0.75738,0.40854,1.56127,1.16357,1.56382,0.00066191,0.00066191,0.00066191
44,2556.02,1.39533,1.03566,1.39801,0.74933,0.72839,0.77558,0.42478,1.54725,1.12976,1.53657,0.000648164,0.000648164,0.000648164
45,2613.58,1.37877,0.99941,1.39072,0.73835,0.70441,0.75346,0.4053,1.54622,1.16555,1.5428,0.000634322,0.000634322,0.000634322
46,2671.38,1.37279,0.9909,1.38543,0.72886,0.70762,0.75804,0.411,1.57406,1.15052,1.57376,0.000620396,0.000620396,0.000620396
47,2728.84,1.37622,1.00769,1.38349,0.73729,0.69816,0.75985,0.40652,1.57094,1.14542,1.55668,0.0006064,0.0006064,0.0006064
48,2786.42,1.35414,0.96716,1.36626,0.73246,0.71012,0.76147,0.4158,1.55391,1.13097,1.55564,0.000592349,0.000592349,0.000592349
49,2844.08,1.35764,0.95823,1.37993,0.76054,0.73229,0.78291,0.41526,1.55769,1.14561,1.5558,0.000578256,0.000578256,0.000578256
50,2901.59,1.33083,0.92168,1.35019,0.7621,0.73003,0.78412,0.43024,1.53967,1.09701,1.53412,0.000564135,0.000564135,0.000564135
51,2958.68,1.32654,0.90532,1.34578,0.72518,0.73904,0.76708,0.40853,1.59027,1.10973,1.57244,0.00055,0.00055,0.00055
52,3016.26,1.31691,0.89889,1.3376,0.75984,0.69673,0.76669,0.41104,1.58023,1.15386,1.57008,0.000535865,0.000535865,0.000535865
53,3073.42,1.29972,0.87419,1.32461,0.7228,0.76804,0.7912,0.42701,1.5575,1.0817,1.56388,0.000521744,0.000521744,0.000521744
54,3130.51,1.28822,0.86793,1.32533,0.73944,0.71505,0.76871,0.40912,1.5668,1.10495,1.5652,0.000507651,0.000507651,0.000507651
55,3187.8,1.27047,0.84714,1.30927,0.73764,0.7309,0.76107,0.40471,1.59762,1.11172,1.5919,0.0004936,0.0004936,0.0004936
56,3245.07,1.27873,0.84536,1.31691,0.75149,0.7214,0.76073,0.40325,1.60162,1.11639,1.59734,0.000479604,0.000479604,0.000479604
57,3302.03,1.25271,0.8166,1.29406,0.74465,0.72364,0.76944,0.41791,1.56416,1.09512,1.56268,0.000465678,0.000465678,0.000465678
58,3359.26,1.2455,0.80275,1.29662,0.76087,0.71504,0.76384,0.41641,1.56751,1.10922,1.57162,0.000451836,0.000451836,0.000451836
