epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5061,2.20541,3.66241,2.30449,0.52605,0.19299,0.14804,0.05557,2.05538,4.2109,2.23877,0.00033033,0.00033033,0.0672973
2,112.855,1.99494,2.61325,2.07442,0.30139,0.40925,0.2581,0.10639,1.82578,2.67662,2.05757,0.000663516,0.000663516,0.0342971
3,168.363,1.91136,2.4068,1.98791,0.28787,0.39225,0.25339,0.10065,1.91919,2.86413,2.10606,0.000996112,0.000996112,0.00129641
4,223.435,1.88994,2.29771,1.9754,0.38323,0.48999,0.38951,0.16789,1.77094,2.58737,1.93288,0.000998003,0.000998003,0.000998003
5,278.168,1.8463,2.17395,1.93969,0.39166,0.43826,0.32335,0.13974,1.90611,2.46425,2.04176,0.000996452,0.000996452,0.000996452
6,333.107,1.78215,2.08436,1.87278,0.52961,0.49903,0.4896,0.23328,1.67297,1.98353,1.83976,0.00099446,0.00099446,0.00099446
7,387.683,1.75802,1.99544,1.84618,0.52993,0.54533,0.55162,0.25666,1.6452,1.83095,1.8171,0.000992029,0.000992029,0.000992029
8,442.563,1.73564,1.92872,1.8344,0.49825,0.51299,0.49875,0.23754,1.65488,1.91183,1.81263,0.000989163,0.000989163,0.000989163
9,497.056,1.73149,1.8995,1.81997,0.56929,0.4828,0.4946,0.22699,1.75968,2.02594,1.93929,0.000985862,0.000985862,0.000985862
10,552.042,1.70285,1.86453,1.81073,0.54818,0.53978,0.56725,0.27792,1.6367,1.79961,1.80399,0.000982132,0.000982132,0.000982132
11,606.551,1.69363,1.79605,1.7969,0.54525,0.51802,0.51848,0.26042,1.67017,1.86563,1.82177,0.000977975,0.000977975,0.000977975
12,661.356,1.6903,1.76936,1.79358,0.56634,0.48365,0.48655,0.21575,1.91508,2.05023,1.95085,0.000973396,0.000973396,0.000973396
13,715.962,1.65735,1.71202,1.76373,0.572,0.53941,0.5889,0.2939,1.6296,1.81303,1.86736,0.000968399,0.000968399,0.000968399
14,771.197,1.65314,1.70517,1.75562,0.61152,0.58854,0.62409,0.31277,1.64152,1.64359,1.77347,0.00096299,0.00096299,0.00096299
15,826.127,1.63173,1.65019,1.73594,0.63406,0.54602,0.57965,0.30052,1.59018,1.6693,1.7717,0.000957172,0.000957172,0.000957172
16,880.903,1.62509,1.61582,1.73364,0.67058,0.59905,0.66683,0.35377,1.57758,1.52105,1.77713,0.000950953,0.000950953,0.000950953
17,935.614,1.61123,1.5774,1.71839,0.60397,0.59855,0.61556,0.32163,1.62457,1.69873,1.78463,0.000944338,0.000944338,0.000944338
18,990.552,1.61909,1.59659,1.72851,0.61242,0.556,0.59628,0.31089,1.59301,1.61122,1.75894,0.000937334,0.000937334,0.000937334
19,1045.26,1.58482,1.55698,1.69741,0.63155,0.5866,0.60979,0.31833,1.54118,1.65965,1.74528,0.000929948,0.000929948,0.000929948
20,1100.35,1.5749,1.51609,1.69249,0.6177,0.63367,0.65049,0.32398,1.64542,1.52894,1.83434,0.000922186,0.000922186,0.000922186
21,1155.12,1.57849,1.48636,1.69193,0.65356,0.61149,0.65746,0.34248,1.57998,1.47089,1.72601,0.000914058,0.000914058,0.000914058
22,1210.19,1.57367,1.46903,1.68289,0.67371,0.61047,0.68107,0.36473,1.53607,1.45884,1.72615,0.00090557,0.00090557,0.00090557
23,1264.81,1.56618,1.44731,1.68394,0.69654,0.61364,0.67018,0.35668,1.55051,1.44717,1.72341,0.000896731,0.000896731,0.000896731
24,1319.71,1.56488,1.43521,1.67407,0.72415,0.62706,0.71564,0.38788,1.52205,1.41579,1.7098,0.00088755,0.00088755,0.00088755
25,1374.45,1.5267,1.40547,1.64666,0.64797,0.68253,0.73413,0.40327,1.50518,1.32351,1.69481,0.000878036,0.000878036,0.000878036
26,1429.31,1.51848,1.38632,1.63332,0.72752,0.65324,0.70938,0.38548,1.51787,1.38179,1.71877,0.000868198,0.000868198,0.000868198
27,1483.97,1.50133,1.34716,1.62813,0.72486,0.61929,0.69267,0.37747,1.50925,1.42344,1.72306,0.000858046,0.000858046,0.000858046
28,1539.02,1.49552,1.30638,1.61292,0.71975,0.67514,0.72855,0.40093,1.55141,1.33331,1.72679,0.00084759,0.00084759,0.00084759
29,1593.78,1.51273,1.34255,1.62325,0.75985,0.67163,0.75555,0.41808,1.50164,1.25667,1.68146,0.000836841,0.000836841,0.000836841
30,1648.77,1.48913,1.28555,1.61561,0.7343,0.66127,0.72529,0.39204,1.55579,1.28178,1.7097,0.000825808,0.000825808,0.000825808
31,1703.2,1.4816,1.27505,1.59558,0.69594,0.65962,0.70021,0.36968,1.60417,1.33676,1.77001,0.000814503,0.000814503,0.000814503
32,1757.99,1.47166,1.25874,1.59331,0.71102,0.67317,0.73074,0.39665,1.5193,1.30335,1.70318,0.000802938,0.000802938,0.000802938
33,1812.71,1.47006,1.24962,1.59849,0.69746,0.72116,0.74188,0.39605,1.55753,1.27393,1.74569,0.000791122,0.000791122,0.000791122
34,1867.71,1.46235,1.21091,1.5781,0.74742,0.67847,0.74867,0.42259,1.50524,1.26563,1.67991,0.000779069,0.000779069,0.000779069
35,1922.21,1.4354,1.20603,1.56622,0.66974,0.68598,0.73432,0.40277,1.51133,1.26123,1.68088,0.000766789,0.000766789,0.000766789
36,1977.06,1.43037,1.1875,1.56697,0.74354,0.70895,0.7693,0.43093,1.49095,1.17557,1.66791,0.000754296,0.000754296,0.000754296
37,2031.67,1.4393,1.15878,1.56945,0.71325,0.70831,0.72838,0.40644,1.51356,1.24334,1.69658,0.000741601,0.000741601,0.000741601
38,2086.83,1.42134,1.13422,1.54784,0.69893,0.7138,0.74798,0.41479,1.51985,1.21681,1.70093,0.000728717,0.000728717,0.000728717
39,2141.44,1.39869,1.13928,1.53479,0.72576,0.70217,0.7671,0.42571,1.48504,1.18863,1.67665,0.000715656,0.000715656,0.000715656
40,2197.08,1.41539,1.10556,1.5584,0.76047,0.69819,0.77603,0.43128,1.49731,1.19111,1.69182,0.000702432,0.000702432,0.000702432
41,2252.69,1.40076,1.09006,1.5367,0.78649,0.70272,0.7962,0.43751,1.51021,1.14366,1.67171,0.000689058,0.000689058,0.000689058
42,2307.98,1.39871,1.07852,1.54867,0.76476,0.63528,0.74806,0.40608,1.54025,1.29922,1.73355,0.000675546,0.000675546,0.000675546
43,2362.91,1.36842,1.0519,1.51895,0.7422,0.72278,0.78354,0.42224,1.53775,1.14476,1.71236,0.00066191,0.00066191,0.00066191
44,2417.97,1.35149,1.06338,1.50141,0.76455,0.70519,0.77641,0.43063,1.48904,1.15343,1.66182,0.000648164,0.000648164,0.000648164
45,2472.8,1.35372,1.01049,1.50229,0.73797,0.75204,0.78651,0.43518,1.49133,1.08255,1.67765,0.000634322,0.000634322,0.000634322
46,2528.05,1.34162,1.00572,1.49314,0.6874,0.73861,0.75432,0.42004,1.50295,1.1752,1.6942,0.000620396,0.000620396,0.000620396
47,2582.81,1.33293,1.00008,1.48545,0.73952,0.70872,0.75952,0.42582,1.52287,1.14952,1.69867,0.0006064,0.0006064,0.0006064
